Employee_ID,Agency,Job_Grade,Employment_Type,Hire_Date,Gender,Age_Group
EMP00001,Operations,Junior,Full-time,2022-10-17,Male,18-25
EMP00002,Operations,Senior,Full-time,2021-04-15,Male,26-35
EMP00003,Finance,Senior,Part-time,2022-06-02,Non-binary,36-45
EMP00004,Customer Service,Senior,Part-time,2021-08-14,Male,46-55
EMP00005,Legal,Mid,Full-time,2021-06-13,Female,18-25
EMP00006,Operations,Mid,Full-time,2022-01-25,Female,46-55
EMP00007,Operations,Director,Full-time,2022-04-16,Non-binary,26-35
EMP00008,Sales,Senior,Part-time,2022-10-06,Male,36-45
EMP00009,Operations,Lead,Contract,2021-10-24,Female,26-35
EMP00010,Sales,Junior,Full-time,2022-10-13,Non-binary,26-35
EMP00011,Operations,Senior,Full-time,2022-12-01,Non-binary,26-35
EMP00012,Legal,Junior,Contract,2022-04-19,Non-binary,36-45
EMP00013,Sales,Lead,Part-time,2022-12-03,Male,46-55
EMP00014,Legal,Junior,Full-time,2021-11-20,Non-binary,46-55
EMP00015,IT,Senior,Full-time,2021-11-19,Non-binary,26-35
EMP00016,HR,Junior,Full-time,2021-09-29,Female,36-45
EMP00017,Legal,Mid,Temporary,2022-03-15,Male,36-45
EMP00018,Finance,Lead,Full-time,2021-04-04,Male,46-55
EMP00019,Operations,Mid,Full-time,2022-03-09,Female,36-45
EMP00020,Finance,Senior,Full-time,2022-07-21,Non-binary,46-55
EMP00021,Sales,Junior,Full-time,2022-10-19,Female,18-25
EMP00022,HR,Mid,Full-time,2021-09-27,Non-binary,26-35
EMP00023,IT,Junior,Part-time,2022-10-17,Non-binary,56+
EMP00024,Finance,Senior,Full-time,2022-06-28,Male,56+
EMP00025,IT,Junior,Contract,2021-11-11,Male,18-25
EMP00026,Operations,Director,Full-time,2022-05-13,Male,18-25
EMP00027,HR,Junior,Contract,2022-05-02,Female,56+
EMP00028,IT,Senior,Full-time,2022-07-07,Non-binary,36-45
EMP00029,Customer Service,Junior,Full-time,2022-03-25,Female,18-25
EMP00030,IT,Senior,Full-time,2022-07-22,Non-binary,36-45
EMP00031,Operations,Manager,Contract,2021-08-23,Male,36-45
EMP00032,Customer Service,Junior,Full-time,2021-10-13,Non-binary,36-45
EMP00033,Customer Service,Lead,Full-time,2021-09-06,Male,36-45
EMP00034,Legal,Mid,Contract,2021-12-29,Male,36-45
