Employee_ID,Hire_Date,Agency,Job_Grade,Employment_Type
NEW00000,2024-07-25,Sales,Mid,Full-time
NEW00001,2023-06-09,Marketing,Senior,Part-time
NEW00002,2023-09-09,IT,Senior,Full-time
NEW00003,2023-10-06,Sales,Manager,Full-time
NEW00004,2024-02-19,Finance,Manager,Full-time
NEW00005,2023-09-21,Operations,Senior,Full-time
NEW00006,2023-08-13,IT,Mid,Full-time
NEW00007,2023-04-11,Sales,Mid,Full-time
NEW00008,2024-08-03,Sales,Junior,Full-time
NEW00009,2024-09-30,Customer Service,Manager,Full-time
NEW00010,2023-11-18,Finance,Mid,Part-time
NEW00011,2023-06-07,Legal,Mid,Full-time
NEW00012,2024-01-15,Operations,Junior,Full-time
NEW00013,2024-05-18,Legal,Mid,Full-time
NEW00014,2023-08-29,Marketing,Junior,Part-time
NEW00015,2023-12-11,HR,Mid,Full-time
NEW00016,2023-03-26,Operations,Junior,Part-time
NEW00017,2023-01-09,HR,Mid,Full-time
NEW00018,2023-04-05,HR,Director,Full-time
NEW00019,2023-07-01,Finance,Junior,Temporary
NEW00020,2024-01-11,Sales,Mid,Full-time
NEW00021,2023-06-19,Marketing,Junior,Full-time
NEW00022,2024-08-19,Operations,Director,Full-time
NEW00023,2023-07-16,HR,Lead,Part-time
NEW00024,2024-05-17,Operations,Junior,Full-time
NEW00025,2024-06-22,Operations,Senior,Full-time
NEW00026,2023-03-08,Customer Service,Mid,Full-time
NEW00027,2024-10-20,Operations,Mid,Full-time
NEW00028,2023-10-18,Finance,Junior,Full-time
NEW00029,2023-06-16,Customer Service,Senior,Full-time
NEW00030,2024-06-05,Marketing,Junior,Part-time
NEW00031,2024-02-15,Legal,Senior,Full-time
NEW00032,2023-11-13,Sales,Junior,Full-time
NEW00033,2024-12-21,HR,Junior,Full-time
NEW00034,2023-05-01,HR,Junior,Full-time
NEW00035,2023-06-02,Operations,Junior,Full-time
NEW00036,2023-11-24,IT,Senior,Full-time
NEW00037,2023-05-06,Marketing,Manager,Full-time
NEW00038,2024-04-29,Finance,Junior,Full-time
NEW00039,2023-12-20,Operations,Junior,Part-time
NEW00040,2023-09-16,Legal,Junior,Full-time
NEW00041,2024-11-05,Legal,Senior,Contract
NEW00042,2024-04-05,HR,Senior,Part-time
NEW00043,2024-12-25,Legal,Mid,Temporary
NEW00044,2024-08-03,HR,Junior,Part-time
NEW00045,2023-09-14,Legal,Junior,Contract
NEW00046,2023-12-09,HR,Junior,Full-time
NEW00047,2024-06-09,Customer Service,Manager,Contract
NEW00048,2023-07-04,Legal,Junior,Full-time
NEW00049,2024-01-05,Sales,Senior,Full-time
NEW00050,2023-01-03,Operations,Mid,Part-time
NEW00051,2024-05-28,IT,Junior,Full-time
NEW00052,2024-11-05,Marketing,Mid,Contract
NEW00053,2024-08-27,IT,Mid,Contract
NEW00054,2023-02-10,Customer Service,Manager,Full-time
NEW00055,2023-10-25,Customer Service,Junior,Full-time
NEW00056,2024-02-22,Operations,Mid,Contract
NEW00057,2024-04-19,IT,Lead,Part-time
NEW00058,2023-08-17,Customer Service,Junior,Contract
NEW00059,2023-02-09,IT,Mid,Full-time
NEW00060,2024-02-09,Marketing,Junior,Full-time
NEW00061,2023-08-16,Customer Service,Junior,Full-time
NEW00062,2023-02-18,Operations,Senior,Full-time
NEW00063,2024-07-13,Legal,Junior,Contract
NEW00064,2024-10-17,Marketing,Senior,Full-time
NEW00065,2024-05-23,IT,Mid,Full-time
NEW00066,2023-04-29,IT,Lead,Full-time
NEW00067,2023-12-03,HR,Mid,Full-time
NEW00068,2024-12-02,Legal,Junior,Full-time
NEW00069,2024-05-06,Finance,Junior,Contract
NEW00070,2023-09-22,HR,Mid,Full-time
NEW00071,2024-03-01,HR,Lead,Full-time
NEW00072,2023-06-17,Sales,Junior,Contract
NEW00073,2023-11-13,Operations,Junior,Full-time
NEW00074,2023-05-05,Finance,Manager,Full-time
NEW00075,2023-10-04,HR,Junior,Full-time
NEW00076,2023-05-05,Customer Service,Mid,Full-time
NEW00077,2024-09-21,Marketing,Senior,Full-time
NEW00078,2023-04-05,Sales,Junior,Part-time
NEW00079,2024-07-12,Marketing,Senior,Contract
NEW00080,2024-09-27,Operations,Director,Full-time
NEW00081,2023-12-17,HR,Mid,Full-time
NEW00082,2023-07-18,Customer Service,Director,Part-time
NEW00083,2023-12-26,Finance,Junior,Full-time
NEW00084,2024-03-18,Operations,Senior,Part-time
NEW00085,2024-02-17,IT,Junior,Full-time
NEW00086,2024-05-10,Operations,Manager,Part-time
NEW00087,2024-11-03,Customer Service,Mid,Full-time
NEW00088,2023-11-26,Sales,Junior,Full-time
NEW00089,2024-04-08,IT,Junior,Full-time
NEW00090,2024-11-11,Sales,Mid,Full-time
NEW00091,2023-01-08,Sales,Lead,Full-time
NEW00092,2023-04-09,Operations,Mid,Full-time
NEW00093,2024-07-20,Sales,Junior,Part-time
NEW00094,2024-10-15,Sales,Junior,Full-time
NEW00095,2024-03-11,Marketing,Junior,Full-time
NEW00096,2023-11-04,HR,Mid,Part-time
NEW00097,2023-06-06,Marketing,Junior,Full-time
NEW00098,2023-03-18,Sales,Junior,Full-time
NEW00099,2023-11-04,Legal,Junior,Temporary
NEW00100,2023-12-02,HR,Senior,Contract
NEW00101,2024-06-21,Operations,Junior,Full-time
NEW00102,2023-09-28,Sales,Junior,Full-time
NEW00103,2024-08-13,IT,Mid,Full-time
NEW00104,2023-02-20,Marketing,Junior,Part-time
NEW00105,2024-07-08,Operations,Senior,Full-time
NEW00106,2024-08-14,Marketing,Lead,Full-time
NEW00107,2023-04-13,Legal,Senior,Full-time
NEW00108,2024-03-06,Operations,Mid,Full-time
NEW00109,2023-02-23,HR,Junior,Contract
NEW00110,2024-08-25,Finance,Junior,Full-time
NEW00111,2024-04-25,Sales,Mid,Full-time
NEW00112,2023-06-12,IT,Junior,Full-time
NEW00113,2024-10-26,Operations,Mid,Full-time
NEW00114,2023-08-12,HR,Junior,Temporary
NEW00115,2024-11-29,IT,Director,Full-time
NEW00116,2024-06-19,Marketing,Mid,Part-time
NEW00117,2023-07-12,Customer Service,Mid,Full-time
NEW00118,2023-08-05,Legal,Junior,Full-time
NEW00119,2023-12-19,HR,Mid,Full-time
NEW00120,2024-08-15,Marketing,Junior,Full-time
NEW00121,2023-05-08,Legal,Junior,Full-time
NEW00122,2023-01-02,Operations,Mid,Full-time
NEW00123,2023-09-17,HR,Mid,Part-time
NEW00124,2024-08-17,Operations,Manager,Full-time
NEW00125,2024-12-29,Finance,Junior,Full-time
NEW00126,2023-02-17,Operations,Mid,Full-time
NEW00127,2023-08-12,Marketing,Manager,Full-time
NEW00128,2024-10-29,IT,Senior,Part-time
NEW00129,2023-01-15,Legal,Junior,Full-time
NEW00130,2023-05-28,HR,Senior,Part-time
NEW00131,2024-01-13,Sales,Manager,Full-time
NEW00132,2024-06-15,Marketing,Mid,Full-time
NEW00133,2024-10-12,HR,Junior,Full-time
NEW00134,2024-11-12,IT,Mid,Contract
NEW00135,2024-03-23,Finance,Junior,Full-time
NEW00136,2023-06-12,Finance,Senior,Part-time
NEW00137,2024-04-14,Marketing,Junior,Full-time
NEW00138,2023-10-22,HR,Junior,Full-time
NEW00139,2023-01-15,Customer Service,Senior,Full-time
NEW00140,2024-08-23,Customer Service,Junior,Full-time
NEW00141,2024-04-05,IT,Mid,Full-time
NEW00142,2024-05-03,Legal,Junior,Full-time
NEW00143,2024-03-24,HR,Junior,Full-time
NEW00144,2024-05-12,Legal,Junior,Contract
NEW00145,2024-06-05,HR,Junior,Part-time
NEW00146,2024-06-18,Marketing,Mid,Full-time
NEW00147,2024-11-05,Marketing,Senior,Full-time
NEW00148,2024-08-03,Operations,Junior,Full-time
NEW00149,2023-09-08,HR,Mid,Temporary
NEW00150,2023-01-04,HR,Manager,Full-time
NEW00151,2024-12-07,Legal,Mid,Full-time
NEW00152,2023-07-18,HR,Junior,Full-time
NEW00153,2024-03-11,Marketing,Mid,Full-time
NEW00154,2023-07-24,Legal,Mid,Temporary
NEW00155,2024-08-01,Sales,Junior,Full-time
NEW00156,2023-07-20,IT,Junior,Contract
NEW00157,2024-01-01,Customer Service,Senior,Full-time
NEW00158,2024-05-19,IT,Mid,Full-time
NEW00159,2024-12-07,Operations,Junior,Contract
NEW00160,2023-08-25,Legal,Lead,Full-time
NEW00161,2024-02-27,Operations,Junior,Temporary
NEW00162,2024-07-15,Customer Service,Senior,Full-time
NEW00163,2023-08-08,IT,Junior,Full-time
NEW00164,2023-01-12,Legal,Junior,Full-time
NEW00165,2024-08-25,Customer Service,Lead,Full-time
NEW00166,2023-08-31,Operations,Junior,Full-time
NEW00167,2024-09-04,IT,Junior,Full-time
NEW00168,2024-07-08,HR,Mid,Full-time
NEW00169,2023-01-07,Customer Service,Senior,Full-time
NEW00170,2024-02-26,Sales,Junior,Full-time
NEW00171,2023-08-23,Marketing,Junior,Full-time
NEW00172,2024-01-01,Customer Service,Mid,Full-time
NEW00173,2023-04-10,Finance,Mid,Full-time
NEW00174,2023-06-10,IT,Senior,Part-time
NEW00175,2023-07-20,IT,Junior,Full-time
NEW00176,2023-03-04,Customer Service,Junior,Full-time
NEW00177,2023-05-01,IT,Junior,Part-time
NEW00178,2023-11-03,Legal,Junior,Full-time
NEW00179,2023-06-12,Customer Service,Junior,Full-time
NEW00180,2023-02-05,HR,Mid,Contract
NEW00181,2023-04-22,Operations,Senior,Full-time
NEW00182,2023-06-07,Legal,Junior,Full-time
NEW00183,2023-06-20,Marketing,Senior,Part-time
NEW00184,2024-11-24,Sales,Lead,Full-time
NEW00185,2024-08-31,IT,Manager,Full-time
NEW00186,2024-09-17,Customer Service,Junior,Full-time
NEW00187,2023-08-08,Finance,Junior,Full-time
NEW00188,2024-07-02,Customer Service,Lead,Contract
NEW00189,2023-04-29,HR,Lead,Full-time
NEW00190,2024-12-18,Operations,Mid,Full-time
NEW00191,2024-10-27,HR,Junior,Full-time
NEW00192,2023-08-26,HR,Junior,Full-time
