Week_Ending,Files_Received,Files_Late,Records_Processed,Missing_Exit_Dates,Duplicate_IDs_Found,Duplicate_IDs_Resolved
2023-01-01,7,1,114,7,0,1
2023-01-08,9,3,161,0,0,0
2023-01-15,5,0,181,1,0,1
2023-01-22,5,3,191,3,0,3
2023-01-29,11,2,73,7,1,3
2023-02-05,5,0,182,1,5,5
2023-02-12,10,3,77,2,4,0
2023-02-19,6,2,65,7,0,1
2023-02-26,5,3,165,1,1,0
2023-03-05,12,1,135,1,0,2
2023-03-12,10,2,175,4,1,3
2023-03-19,7,0,100,0,0,4
2023-03-26,11,1,139,8,4,5
2023-04-02,10,3,159,6,4,2
2023-04-09,12,0,102,1,4,0
2023-04-16,10,1,101,6,1,3
2023-04-23,9,3,150,6,1,0
2023-04-30,10,0,184,3,1,5
2023-05-07,12,0,58,0,2,3
2023-05-14,11,3,75,4,2,5
2023-05-21,5,0,79,0,3,4
2023-05-28,12,3,81,4,0,0
2023-06-04,9,1,189,8,0,5
2023-06-11,9,0,130,3,5,5
2023-06-18,6,2,94,0,2,4
2023-06-25,5,2,177,6,4,4
2023-07-02,12,1,66,3,3,4
2023-07-09,12,0,156,6,4,4
2023-07-16,9,0,155,6,0,1
2023-07-23,8,3,123,0,3,3
2023-07-30,9,1,109,2,2,3
2023-08-06,7,1,181,4,4,4
2023-08-13,6,3,53,1,5,2
2023-08-20,7,3,85,0,1,3
2023-08-27,5,3,188,2,0,0
2023-09-03,11,0,90,0,5,5
2023-09-10,9,0,189,1,1,2
2023-09-17,12,1,78,1,3,0
2023-09-24,9,0,68,8,3,2
2023-10-01,9,1,91,1,3,2
2023-10-08,8,3,179,5,3,0
2023-10-15,7,0,56,4,4,0
2023-10-22,11,3,131,7,5,0
2023-10-29,7,1,147,1,2,4
2023-11-05,11,0,71,2,4,3
2023-11-12,9,1,158,8,4,1
2023-11-19,12,3,198,7,5,5
2023-11-26,5,2,61,5,1,5
2023-12-03,6,2,72,6,0,2
2023-12-10,11,0,176,8,5,1
2023-12-17,7,3,122,8,4,1
2023-12-24,10,3,140,1,3,4
2023-12-31,11,1,124,0,4,3
2024-01-07,9,3,148,8,1,5
2024-01-14,9,3,56,4,3,4
2024-01-21,9,1,66,7,0,1
2024-01-28,10,0,148,2,1,2
2024-02-04,8,3,120,8,4,1
2024-02-11,5,1,118,8,3,4
2024-02-18,8,0,161,2,2,3
2024-02-25,12,1,184,7,4,4
2024-03-03,6,3,55,1,0,2
2024-03-10,6,1,78,3,2,5
2024-03-17,7,1,154,1,1,1
2024-03-24,12,3,50,5,1,1
2024-03-31,5,2,132,8,4,0
2024-04-07,11,2,55,2,2,2
2024-04-14,9,3,87,4,0,4
2024-04-21,6,3,131,0,1,5
2024-04-28,9,2,57,6,3,0
2024-05-05,12,3,66,8,1,5
2024-05-12,9,0,189,8,5,0
2024-05-19,11,3,191,2,0,2
2024-05-26,6,3,119,6,4,0
2024-06-02,8,2,97,6,5,3
2024-06-09,9,3,187,3,5,4
2024-06-16,11,3,129,8,3,4
2024-06-23,9,0,133,5,4,2
2024-06-30,10,0,78,1,4,1
2024-07-07,7,0,172,5,1,5
2024-07-14,11,0,139,1,0,3
2024-07-21,6,3,65,3,4,4
2024-07-28,11,1,157,5,1,3
2024-08-04,7,0,181,4,2,2
2024-08-11,5,3,174,0,0,0
2024-08-18,9,1,126,8,4,2
2024-08-25,7,0,125,6,3,5
2024-09-01,9,3,160,7,3,0
2024-09-08,10,3,117,2,0,2
2024-09-15,10,3,143,7,3,2
2024-09-22,5,3,128,5,1,1
2024-09-29,5,3,83,3,2,2
2024-10-06,11,3,83,2,3,2
2024-10-13,9,0,77,6,5,2
2024-10-20,10,1,63,0,5,5
2024-10-27,11,1,97,1,1,1
2024-11-03,9,1,165,6,3,5
2024-11-10,12,2,152,2,2,4
2024-11-17,6,3,57,1,0,1
2024-11-24,9,0,73,5,4,2
2024-12-01,11,0,51,8,0,0
2024-12-08,12,3,173,7,4,1
2024-12-15,8,0,94,5,3,0
2024-12-22,9,3,84,6,2,1
2024-12-29,11,0,87,1,1,0
